,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Fft_gx1,Fft_gy1,Fft_gz1,Fft_ax1,Fft_ay1,Fft_az1
0,-0.48,-0.02,-1.19,-13.44,3.0,4.5,-3.53,-5.41,2.31,0.21,0.55,-0.73,0.35,263163,2510,W,-2.4647049478937175,0.06995955097373402,-2.5386382467466984,0.3923528867967902,-0.2471116670002213,0.9875158011436421,0.4631219089857644,2.6966264546135896,1.1118357255842968,2.3349481510338075,-0.7097181007182012,-1.0339407337300393
1,-0.83,0.18,-1.9,-13.44,3.0,4.5,-3.53,-5.41,2.31,0.21,0.55,-0.73,0.35,263177,2524,W,-2.6795917249430135,0.06185379695311887,-2.799118939567135,2.8430940598150523,3.049800480391479,1.412512939638097,0.4275995906784909,-0.17736235223091337,0.993218703758464,3.0514723859471076,1.3172640938210103,2.275986321127124
2,-0.83,0.18,-1.9,-13.44,3.0,4.5,-3.53,-5.41,2.31,0.29,0.47,-0.7,0.46,263192,2539,W,-2.8297401850453734,0.04644488014228996,-2.993778021648733,-0.9230112798176751,0.06607610469689623,1.915373616551158,0.39947291834520005,-2.9553736302036135,0.8777137807030512,-2.9653897832195453,-3.0700930282805583,-0.6963105801063573
3,-0.83,0.18,-1.9,-13.44,3.0,4.5,-4.18,-8.02,1.12,0.29,0.47,-0.7,0.46,263281,2628,W,-2.9427241951991343,0.025999994994950183,-3.127088292852592,1.7182068778037687,-2.964424007228031,2.376161197596703,0.38807330025210174,0.5492774194795976,0.7938295587235975,-2.9345964461548304,-1.185556497313285,2.619070921794404
4,-1.08,0.05,-2.28,-13.44,3.0,4.5,-4.18,-8.02,1.12,0.29,0.47,-0.7,0.46,263297,2644,W,-3.057755329113118,0.020069014360961552,3.054652980053665,-1.8577157925342902,0.29266701890791197,2.7325799852453287,0.39104855311228875,-2.1025489188163826,0.7584289093787148,-2.963785806576256,0.9107543906221247,-0.33872397084954986
5,-1.08,0.05,-2.28,-13.44,3.0,4.5,-4.79,-9.86,1.96,0.29,0.47,-0.7,0.46,263392,2739,W,3.086857732974213,0.050192082961323964,2.93841190406047,0.9754185093200758,-2.8829255274259538,2.9583543084703012,0.3956543893443301,-2.430108463442543,0.7601612473399293,-3.00610968249503,-3.019604739377253,2.9800604783382503
6,-1.45,0.11,-2.67,-13.44,3.0,4.5,-4.79,-9.86,1.96,0.29,0.47,-0.7,0.46,263423,2770,W,2.934501228720623,0.09335227228863843,2.7883993857406195,-2.6127423304559785,-0.16351285292885517,3.055729522498009,0.38735661004656885,1.1170531199534335,0.7677642658806106,-3.0600974990063774,-0.5798424906355454,0.030971065682995468
7,-1.45,0.11,-2.67,-13.44,3.0,4.5,-5.21,-11.54,1.43,0.29,0.47,-0.7,0.46,263446,2793,W,2.8034630473379956,0.14140423359220589,2.6224261887600746,-0.08641942097721393,1.7498812579051255,3.0490720905072277,0.35823638949603714,-1.7563513554951455,0.7533447790822446,-3.1345635715886755,1.9054923646275204,-2.9273542229974283
8,-1.45,0.11,-2.67,-13.44,3.0,4.5,-6.17,-11.04,1.04,0.29,0.47,-0.7,0.46,263459,2806,W,2.7431985916506734,0.18833309080502214,2.464405719763751,2.4558354114624836,-1.456398738863727,2.973244163857734,0.3147141332726061,1.6066071390602632,0.7091583262112278,3.0501094326442915,-1.9087841470622868,0.4305133136206091
9,-1.45,0.11,-2.67,-13.44,3.0,4.5,-6.09,-10.96,0.97,0.29,0.47,-0.7,0.46,263480,2827,W,2.7987907036736996,0.2292024315779889,2.330229431280106,-1.3067409822178278,1.8771414077278168,2.8575893550480447,0.27808626678661214,-1.322617278731948,0.641129989040058,2.9313124088867157,0.5542622969562838,-2.529153195600305
10,-1.03,0.55,-1.96,-13.44,3.0,4.5,-6.09,-10.96,0.97,0.29,0.47,-0.7,0.46,263500,2847,W,2.937404736710674,0.26305980829459225,2.235222642297087,1.19517779836512,-1.027510854171603,2.722654411240686,0.2757613230950697,2.0255424691024917,0.562477514312777,2.8038287720049473,3.0468345069820035,0.8477142182805864
11,-1.03,0.55,-1.96,-13.44,3.0,4.5,-6.78,-10.77,-0.07,0.29,0.47,-0.7,0.46,263519,2866,W,3.0208239568314834,0.29311174981745985,2.187185322571558,-2.5570178922621483,2.399114886424309,2.584946568962893,0.3126492594127912,-0.903374796019598,0.4885675083822702,2.6835912974896443,-0.7813593304642953,-2.0851161369856523
12,-1.48,-0.91,-1.7,-13.44,3.0,4.5,-6.78,-10.77,-0.07,0.29,0.47,-0.7,0.46,263533,2880,W,2.987919264796096,0.3232795908522375,2.181065924086586,-0.05651736427387083,-0.44349577877863805,2.4621800527723474,0.36584821177897786,2.4539597322275006,0.43000598447198,2.5884073787310196,1.7082656895471349,1.4225483960272935
13,-1.48,-0.91,-1.7,-13.44,3.0,4.5,-6.9,-10.16,0.16,0.29,0.47,-0.7,0.46,263556,2903,W,2.8712948554723927,0.353866791756029,2.1947341691802498,2.4640714001484985,3.0150994550465438,2.362377447918984,0.4110246779043508,-0.4736610010277352,0.3888921372027181,2.536448451019685,-2.0825554842529628,-1.8677853234516393
14,-1.48,-0.91,-1.7,-13.44,3.0,4.5,-5.1,-9.74,0.55,0.29,0.47,-0.7,0.46,263577,2924,W,2.715616842987836,0.38068414183073035,2.2075411232420263,-1.296766916019929,0.21787067292784934,2.2794748118234023,0.4345860080727176,2.8795883013564425,0.3583018284015345,2.540002173404783,0.3847339813183919,1.427661387498365
15,-1.6,-0.09,-1.33,-13.44,3.0,4.5,-5.1,-9.74,0.55,0.29,0.47,-0.7,0.46,263597,2944,W,2.5520605519023136,0.3969264259915933,2.219240762086628,1.1362497468843715,-2.5829240353022884,2.19775599827449,0.43449417840892807,-0.056751997996859406,0.3320426140450802,2.590662389037236,2.8872474446135175,-1.6768135146061713
16,-1.6,-0.09,-1.33,-13.44,3.0,4.5,-5.55,-9.36,-0.14,0.29,0.47,-0.7,0.46,263612,2959,W,2.39763429895381,0.39662667990163863,2.235096637894358,-2.6946988657745883,0.9428439284595576,2.1082837576975373,0.4156102180098576,-2.9965890732350537,0.3098882910471005,2.659540965747232,-0.9953832038334587,1.6933536595610936
17,-1.21,0.58,-1.12,-13.44,3.0,4.5,-5.55,-9.36,-0.14,0.29,0.47,-0.7,0.46,263630,2977,W,2.2601857847057496,0.37807012483556013,2.2498271450831244,-0.3313721727951018,-1.8018349624204357,2.0081358301768257,0.3858631886418665,0.33125696097116725,0.2945754582026393,2.7139327835805647,1.2831164025352155,-1.4861794403440496
