,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
0,0.38,0.43,0.99,-10.69,1.37,1.19,-0.81,-8.32,0.48,-0.09,0.74,-0.67,0.06,137960,3269,W,0.2804019573185849,0.028193969679103415,0.05647883945524988,0.11585406523454535,0.015085234844172842,0.016345872051271637,0.46308994722416236,0.05364806405651714,0.08396337315813829
1,0.38,0.43,0.99,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137979,3288,W,0.26726147834849345,0.023486446486064214,0.050173072482006614,0.15404913806949352,0.014815232949470495,0.024736209277293628,0.42379132060022856,0.04042978756736408,0.07124948099238372
2,0.57,0.66,1.1,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137998,3307,W,0.25015180994868896,0.01798255752059279,0.04272452034568787,0.20173912694760182,0.020545246860229016,0.033910736819915556,0.36888597968330533,0.022214225267947776,0.060524806317444765
3,0.57,0.66,1.1,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138012,3321,W,0.23372136395728946,0.014038574254526868,0.03406920071234955,0.2531465177189045,0.030449438092434254,0.04657182169316186,0.31266142370350614,0.00525368777132129,0.05186098762161845
4,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138026,3335,W,0.2217649444140149,0.012888937298579818,0.02744424025716504,0.3049129483473449,0.040032087464881586,0.0594387150587461,0.2778198581004393,0.010394502082197528,0.050413177778434445
5,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.03,0.72,-0.68,0.08,138043,3352,W,0.21591232953463535,0.012890780995155962,0.0205963972294616,0.35408759047966065,0.04803110310287822,0.07048824402894646,0.2853684944389494,0.020949798105681462,0.04952323737017055
6,0.79,0.61,1.27,-10.69,1.37,1.19,-5.22,-8.97,2.59,-0.03,0.72,-0.68,0.08,138076,3385,W,0.21545597732688723,0.011939784683613711,0.017810860388711477,0.39784662313102453,0.0529264072319508,0.08136777466321805,0.3333911650773532,0.02565685630566081,0.055173433579926066
7,0.79,0.61,1.27,-10.69,1.37,1.19,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138097,3406,W,0.2193623291975685,0.009542835205729674,0.016614658825093113,0.4331122359314922,0.05453885385834462,0.08789038345416851,0.40386948862777405,0.026431991833753082,0.060151683643655286
8,0.79,0.61,1.27,-24.56,13.81,-7.81,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138122,3431,W,0.2277417057068389,0.007704396496451732,0.014194723379610967,0.45814518754017275,0.05527531643302477,0.08787511159726509,0.480484587314094,0.024318261293760118,0.061481979208952015
9,0.96,-0.59,1.98,-24.56,13.81,-7.81,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138142,3451,W,0.23843642202697515,0.007325490830328908,0.012112468007752111,0.47245974450230954,0.05631808357713705,0.08093332815225854,0.5481335359247662,0.021350596126153677,0.06295448613194289
