,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
0,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.55,-2.7,0.12,-0.71,0.01,0.67,0.21,473028,2855,W,0.03858059727868645,0.016224264509222864,0.018197074121215243,0.10413538711399427,0.018913860807312728,0.027030143306481326,0.49138814812108866,0.016222493200423703,0.04318500492609261
1,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.59,-2.77,0.12,-0.71,0.01,0.67,0.21,473069,2896,W,0.025726764498476815,0.02730902824795084,0.02433053408635989,0.09111102212130752,0.02734728778925089,0.03047038311132409,0.6394597779627837,0.03958742441282982,0.04008549450686943
2,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473110,2937,W,0.027621839013432264,0.045071554950609015,0.039532441609358586,0.0838636721390567,0.041713338804332124,0.0411549718269385,0.7985480592131663,0.06926450009182279,0.052266562314728884
3,-0.21,-0.4,1.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473152,2979,W,0.060819584778573035,0.0676801430990496,0.06194379928975935,0.09365074154557096,0.0606102434540748,0.058604093260977166,0.9636792677153957,0.10145727104245246,0.07718580622008543
4,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473193,3020,W,0.10439311666798116,0.09187650428822441,0.08667921007631506,0.11974647749816203,0.0820762661957317,0.07989143127809047,1.1289150239315786,0.130424937247894,0.10974576006122758
5,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-12.3,-3.15,0.35,-0.71,0.01,0.67,0.21,473235,3062,W,0.14894043682225191,0.11488441638212556,0.11026630937093555,0.15287009123296913,0.10329639575029304,0.10169777558404401,1.2844378658176157,0.15457115997607135,0.13731301429482748
6,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-15.37,-3.08,0.0,-0.71,0.01,0.67,0.21,473276,3103,W,0.1878122883457718,0.1335346996166333,0.1303108203582498,0.1851472053495595,0.12191948768410485,0.12056746420695116,1.4153368712790277,0.16877963193111029,0.1621674825537178
7,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473319,3146,W,0.2160722155001784,0.14534870018125262,0.14349611409094087,0.21195477710843388,0.13428659278045596,0.1344027719800254,1.5052515482282713,0.17360324318820744,0.17741875551775224
8,-0.1,-0.31,2.24,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473361,3188,W,0.2308852858560311,0.14882376682478177,0.14832563532138007,0.2308398625819826,0.1393951600540502,0.13979639480909492,1.5406336415310569,0.16691184694921957,0.1821965667651745
9,-1.59,-1.27,-1.68,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473403,3230,W,0.23125785004313001,0.14365461158994677,0.14429013348494188,0.24013637765359666,0.1363025019044064,0.13675232552382646,1.5133993238934733,0.15084720330393325,0.1789266053336213
