,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
0,0.39,-0.24,0.31,104.0,-113.56,16.38,-9.78,3.74,3.64,-0.66,-0.04,0.74,0.11,347963,5375,W,0.16023703535123873,0.026037998290178315,0.03626938833563175,1.083181483747241,0.0821102979978609,0.06433733266210324,1.9090073553898883,0.11491042402511752,0.10558536009000466
1,0.35,-1.76,3.13,104.0,-113.56,16.38,-9.78,3.74,3.64,-0.66,-0.04,0.74,0.11,348004,5416,W,0.15292860811933268,0.023665550493404703,0.028901197213349505,1.016477158878136,0.10193164337466254,0.06234363168375429,1.7965590911816127,0.14136977753970348,0.0862527450021421
2,0.35,-1.76,3.13,104.0,-113.56,16.38,-11.92,-5.49,-0.53,-0.66,-0.04,0.74,0.11,348046,5458,W,0.14162874937623418,0.019584358082062634,0.023502491478278497,0.9236034199180143,0.11949360446781858,0.07369184271699651,1.6343626711770152,0.16336491520523763,0.08770723801009081
3,0.35,-1.76,3.13,104.0,-113.56,16.38,-12.46,-2.43,2.57,-0.66,-0.04,0.74,0.11,348089,5501,W,0.12599403389255673,0.015214934428865639,0.01938256609813701,0.8149239255319434,0.13164639682885923,0.08765776186008774,1.4397605184346325,0.17678847733452127,0.09913622559560649
4,0.35,-1.76,3.13,104.0,-113.56,16.38,-11.77,-2.54,0.35,-0.66,-0.04,0.74,0.11,348132,5544,W,0.1087681535475175,0.011469660260146742,0.015831731447045673,0.6978568441594771,0.13748539407230342,0.1034861080627688,1.2266679340731692,0.18174496092086762,0.11950588642442549
5,0.35,-1.76,3.13,104.0,-113.56,16.38,-8.93,-2.39,2.73,-0.66,-0.04,0.74,0.11,348174,5586,W,0.09439685041155657,0.008869303291179206,0.01341833911783568,0.5770376715649175,0.13498956679544194,0.11266175230572285,1.0054621542156832,0.17539284636013427,0.13384899858940486
6,0.29,0.27,0.21,104.0,-113.56,16.38,-8.93,-2.39,2.73,-0.66,-0.04,0.74,0.11,348216,5628,W,0.08664069056775843,0.0077223771581752315,0.012440783896751474,0.45589443980090294,0.12539746019305353,0.11417110746237795,0.7845925320646567,0.1602537122683174,0.13845483335408212
7,0.21,0.01,0.16,104.0,-113.56,16.38,-8.93,-2.39,2.73,-0.66,-0.04,0.74,0.11,348257,5669,W,0.08563291734826077,0.008186734248313695,0.012995774097276017,0.33856749104701295,0.10839430594734482,0.10897849290131169,0.572701135466622,0.1356495535664587,0.13532574469829411
8,0.21,0.01,0.16,104.0,-113.56,16.38,-9.13,-2.43,2.0,-0.66,-0.04,0.74,0.11,348300,5712,W,0.08726741294325076,0.01019551659128578,0.014628162624617847,0.23038058444091583,0.08754131008989238,0.09353363553095713,0.3781627095092769,0.10724499905899357,0.11716447801893443
9,0.21,0.01,0.16,104.0,-113.56,16.38,-9.47,-2.43,1.38,-0.66,-0.04,0.74,0.11,348342,5754,W,0.08781568842854319,0.011873757411957602,0.016074093163255535,0.13929068778450293,0.06590593325395652,0.07030115274953272,0.21207815343915742,0.07983679188276686,0.08636958479176288
10,0.21,0.01,0.16,104.0,-113.56,16.38,-9.39,-2.39,1.46,-0.66,-0.04,0.74,0.11,348384,5796,W,0.08597449851089042,0.012722193191196647,0.017096302201957504,0.07592218401299171,0.040396691077755065,0.04455760171835635,0.09494414696271566,0.04281589261752341,0.04900752079143227
11,0.21,0.01,0.16,104.0,-113.56,16.38,-9.39,-2.43,1.35,-0.66,-0.04,0.74,0.11,348425,5837,W,0.0819949524563214,0.013399652984916879,0.017481977568996193,0.04371791233821068,0.017573311143308824,0.01933002251727286,0.050134255265220896,0.012106961815114541,0.008572039217880537
12,-0.04,-0.04,0.19,104.0,-113.56,16.38,-9.39,-2.43,1.35,-0.66,-0.04,0.74,0.11,348466,5878,W,0.07834212001782077,0.01329306016500746,0.01677078721155153,0.04127015863568666,0.0021255890729450725,0.0029560926530363294,0.11403882340281143,0.010753057549889772,0.02591345249933589
13,-0.05,-0.09,0.21,104.0,-113.56,16.38,-9.39,-2.43,1.35,-0.66,-0.04,0.74,0.11,348509,5921,W,0.08044532933513027,0.01311431290101476,0.016027274558856882,0.08736054895301586,0.012134420190622193,0.016007015282348904,0.2893623760512668,0.023471026791246963,0.05116264196411001
14,-0.05,-0.09,0.21,104.0,-113.56,16.38,-9.47,-2.16,1.42,-0.66,-0.04,0.74,0.11,348553,5965,W,0.09362844754270033,0.012332603790467283,0.015522631284444614,0.16607584214193094,0.014542204830534219,0.023817974590463097,0.5533816920937397,0.02454344703874543,0.07436024008992846
15,-0.05,-0.09,0.21,104.0,-113.56,16.38,-9.51,-2.12,1.5,-0.66,-0.04,0.74,0.11,348595,6007,W,0.11717133070920138,0.011772649675641789,0.015171386691181718,0.2628567164966883,0.015986022487682307,0.028176734518666178,0.8791499453151373,0.02857012027345792,0.09041447143396497
16,-0.05,-0.09,0.21,104.0,-113.56,16.38,-9.63,-2.23,1.23,-0.66,-0.04,0.74,0.11,348637,6049,W,0.1458145483495903,0.011098678407688939,0.015426295380819485,0.373354752440279,0.023646113164129477,0.025434402969865752,1.2470434576959937,0.06465443905062714,0.07722937544166307
17,-0.05,-0.09,0.21,104.0,-113.56,16.38,-9.7,-2.2,1.35,-0.66,-0.04,0.74,0.11,348681,6093,W,0.1767438101347037,0.008083335224389972,0.019247217793513842,0.49149641620069023,0.04475343726292522,0.02738725418826687,1.6362326322072098,0.12886226542480783,0.04903031172457028
18,-0.05,-0.09,0.21,90.31,-139.88,30.63,-9.7,-2.2,1.35,-0.66,-0.04,0.74,0.11,348722,6134,W,0.21010459148787622,0.008803464544140237,0.026718441726228438,0.6082541325096548,0.07624668412778543,0.04902811688002686,2.0202890101152406,0.21033847306400527,0.07869194035385611
19,0.32,-0.98,2.79,90.31,-139.88,30.63,-9.7,-2.2,1.35,-0.66,-0.04,0.74,0.11,348765,6177,W,0.24594189385778778,0.016522475319138034,0.03531027060377077,0.7152388516873668,0.1132734891911619,0.08353166934805795,2.3735379335159665,0.3007407763329787,0.16140789157079344
20,0.55,-1.73,5.83,90.31,-139.88,30.63,-9.7,-2.2,1.35,-0.66,-0.04,0.74,0.11,348806,6218,W,0.2838611179079933,0.027075479449776087,0.045593283014587066,0.8050244745295752,0.1502769291865228,0.12249626183280937,2.6730777361299283,0.38654642482213264,0.25925670792110184
21,0.55,-1.73,5.83,90.31,-139.88,30.63,-19.28,0.79,3.03,-0.66,-0.04,0.74,0.11,348847,6259,W,0.3226927002587727,0.0381381553920242,0.05551934390065273,0.8708643072759902,0.18351100981696308,0.1585027849009186,2.898167713949487,0.4602581942985483,0.3492030941026266
22,0.55,-1.73,5.83,90.31,-139.88,30.63,-16.75,-15.45,-3.52,-0.66,-0.04,0.74,0.11,348888,6300,W,0.3598508255639341,0.04861118059638846,0.06315282546178523,0.9067461604557222,0.20789916666684083,0.189307387238542,3.02977669103167,0.5100133838587846,0.42872228950030883
23,0.55,-1.73,5.83,90.31,-139.88,30.63,-4.18,-7.79,-0.42,-0.66,-0.04,0.74,0.11,348933,6345,W,0.391461925690503,0.05641071397619856,0.06916551344240898,0.9083598716272036,0.22111580257581415,0.20889604993626573,3.0543840480789295,0.5309590262056693,0.48409654238851924
24,0.55,-1.73,5.83,90.31,-139.88,30.63,-7.44,-8.4,-1.61,-0.66,-0.04,0.74,0.11,348974,6386,W,0.4147103339664698,0.06042143984190743,0.07357876862000168,0.8750947232362232,0.221430969935219,0.21475549649102602,2.972307520843765,0.5224257956454873,0.5047377242797018
