,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,0.38,0.43,0.99,-10.69,1.37,1.19,-0.81,-8.32,0.48,-0.09,0.74,-0.67,0.06,137960,3269,W,0.6404952222880531,-0.0018775960950124795,0.35901449395855184,-1.9012465835966252,2.798957280855983,0.6404666599943282
1,0.38,0.43,0.99,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137979,3288,W,0.42341166486957327,-0.01345269284731637,0.1450412773515239,-2.120079967129622,2.8441728407799234,0.347350434143126
2,0.57,0.66,1.1,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137998,3307,W,0.24678116872651149,-0.16327106123664803,-0.007788631020942145,-2.2627874271677992,2.9405138579062133,0.07838724874919989
3,0.57,0.66,1.1,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138012,3321,W,0.1211427964232767,-0.3983086018337095,-0.04747850580748008,-2.412866388254624,3.0354990034748557,-0.16112740571802783
4,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138026,3335,W,0.04046010776176804,-0.6819248295977942,0.05069405345688624,-2.587875452681843,3.087394933058356,-0.36515457898325937
5,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.03,0.72,-0.68,0.08,138043,3352,W,-0.010581572946217841,-0.9929500385070054,0.2202667226944959,-2.7779198408962715,3.097643365385247,-0.528366017748686
6,0.79,0.61,1.27,-10.69,1.37,1.19,-5.22,-8.97,2.59,-0.03,0.72,-0.68,0.08,138076,3385,W,-0.04646268901624357,-1.3209866229486311,0.33242490320251133,-2.970261725489088,3.076685977327005,-0.6516034548658449
7,0.79,0.61,1.27,-10.69,1.37,1.19,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138097,3406,W,-0.07220237344815694,-1.6609300904316004,0.35322411219899075,3.129176086353569,3.034001640779381,-0.7505730689709985
8,0.79,0.61,1.27,-24.56,13.81,-7.81,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138122,3431,W,-0.09855039214590734,-2.0112351477273034,0.3054540024565154,2.9660842789717337,2.9774767817893553,-0.848172191420188
9,0.96,-0.59,1.98,-24.56,13.81,-7.81,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138142,3451,W,-0.1410753753580228,-2.373276408707622,0.21658443513039405,2.841192101044641,2.9137442567959844,-0.9492648085142358
10,0.96,-0.59,1.98,-24.56,13.81,-7.81,-5.87,-10.08,2.29,0.03,0.69,-0.71,0.15,138164,3473,W,-0.20072788366732572,-2.746950685285906,0.11253927837605716,2.7761515090151994,2.850470469544371,-1.0326480107827856
