,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Fft_gx1,Fft_gy1,Fft_gz1,Fft_ax1,Fft_ay1,Fft_az1
0,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-2.8,-7.86,1.73,0.02,0.72,-0.69,0.07,364479,7691,W,1.4483209652161408,0.5408465695335924,1.4540076499420895,-1.9932284345542128,-1.9980448747549993,0.8707805061440936,0.16668459704310382,0.4443583960782908,0.35177982063280366,-1.8609098900015264,1.1233160424411806,-1.85057004286372
1,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364499,7711,W,1.4441859039813416,0.4283597234715115,1.4182427941153166,0.8674868286576605,1.5591235568540662,1.6774333101375158,0.16060778771309622,-2.3666481488710955,0.37861441913000005,-2.2610048182652487,2.5583279048609557,1.6082128058835656
2,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364513,7725,W,1.284792665154254,0.34261150238606664,1.1961362288409592,-2.204745430240865,-1.2358158677071047,2.637035724845944,0.18015381416594548,1.199130198682373,0.4582801817626479,-2.550636230158892,-2.6941382025184537,-1.3149131709037563
3,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364710,7922,W,0.9284329485333868,0.29093539196807805,0.8024453791573739,0.7447027358701356,2.1697130332178176,3.5667987867103452,0.2033534919233534,-1.4753092420253773,0.5475198924447526,-2.829912906019527,-0.4886062003684398,2.0177727616296246
4,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.29,-8.24,2.19,0.02,0.72,-0.69,0.07,364734,7946,W,0.42949800210722705,0.27158592614625043,0.30507796541173077,-2.8441148749051357,-0.8016140074343385,4.328071571758059,0.22671666111573582,2.1282770205990422,0.6420885776239582,-3.1068291297569353,1.88859744875495,-0.9637458335836464
5,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364749,7961,W,-0.1439097032361312,0.2726776584795012,-0.2346886236413964,-0.2780310958941894,2.4895272441233436,4.797966168181247,0.25762047139786454,-0.5699248725171762,0.7519994093788639,2.892541014420116,-1.836397183122061,2.343114371960745
6,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364763,7975,W,-0.7162627381186367,0.2819811435331097,-0.7663900784878187,2.2568575093782233,-0.4807655794921934,4.882915821165324,0.3003601625736038,2.947514708663616,0.8775807835216706,2.5989754815138264,2.820080289610872,-0.6325266091352919
7,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.07,0.69,-0.71,0.12,365187,8399,W,-1.2359180101796918,0.28794913188961085,-1.2606628549619712,-1.5210562225517459,2.842598134224291,4.5447356940929335,0.34806711736229956,0.0944985415341587,1.0003644744350553,2.304492562224023,-0.6042971690089256,2.6767673611291842
8,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365214,8426,W,-1.6891851837046659,0.28403048082106486,-1.70876179716726,0.9844196456669855,-0.11082962206681107,3.809882551767206,0.3886399047839426,-2.7203518177099646,1.0951222111375687,2.019332138383529,1.887204525060131,-0.3096702064048146
9,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365228,8440,W,-2.076783028232199,0.26892361138477006,-2.1097181636795637,-2.8132390235654463,-3.067123939339855,2.7601498952170167,0.4115898746867959,0.8056749596206649,1.1418136221221582,1.7599103763685313,-1.9790718799080393,2.9598101283071228
10,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-2.41,-6.25,0.5,0.07,0.69,-0.71,0.12,365250,8462,W,-2.3941977809682475,0.24181605616443214,-2.460206277982904,-0.34647094066887574,0.263928307299456,1.5221143573146947,0.41108721713605784,-1.8759338309820492,1.1298344276047412,1.5817019014070728,0.42074955473886466,-0.07422141110229054
11,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-2.64,-6.94,0.66,0.07,0.69,-0.71,0.12,365286,8498,W,-2.6309402851299235,0.20639916226210614,-2.7523734794609194,2.1966809727356,-2.7036222088489588,0.3710193354347687,0.3964037068572149,1.8361597956465021,1.07551425177537,2.0943650779330643,2.826525837392486,3.12375590862205
12,-0.79,0.53,-2.12,-29.94,-0.81,-7.25,-2.64,-6.94,0.66,0.07,0.69,-0.71,0.12,365310,8522,W,-2.793417090561901,0.1701630750363741,-2.9836135723969335,-1.2967408513611542,0.6334200533185897,1.16427607503574,0.3905906982786339,-0.6309486718769042,1.020589413797324,-2.705193302079519,-1.085552408821943,0.058731455919843245
13,-1.02,0.26,-2.58,-29.94,-0.81,-7.25,-2.64,-6.94,0.66,0.07,0.69,-0.71,0.12,365333,8545,W,-2.9357671881582204,0.13966222533107658,3.106420593237203,2.019633658056699,-2.282327673850463,2.32275466030919,0.40973966385963595,-3.0959184899192014,1.0038808970348687,-2.7470143130917646,1.2649382398048674,-2.9166382790905314
14,-1.02,0.26,-2.58,-29.94,-0.81,-7.25,-3.87,-9.54,0.7,0.07,0.69,-0.71,0.12,365348,8560,W,-3.124938494648872,0.11985493649139949,2.9015087390262337,-1.218705544767588,1.1691751355376838,3.331768873736735,0.4475902623227477,0.6243912490808501,1.0356789676782683,-2.902158519584182,-2.6895745828567947,0.47717024994025425
15,-1.02,0.26,-2.58,-29.94,-0.81,-7.25,-3.91,-11.42,0.96,0.07,0.69,-0.71,0.12,365362,8574,W,2.904693634811581,0.11287814655629251,2.6510970698589005,1.374630407574368,-1.8650977194321192,4.105424626992015,0.4831574126923397,-2.0102465462718233,1.090365915324042,-3.072280582816924,-0.4436733586910264,-2.343788023151175
16,-1.36,-0.05,-2.85,-29.94,-0.81,-7.25,-3.91,-11.42,0.96,0.07,0.69,-0.71,0.12,365379,8591,W,2.6022781932589267,0.11719605155762952,2.354993445786798,-2.503753107628418,1.1752100127086815,4.587914927353356,0.49585761733824446,1.6618537446227897,1.1292844869402212,3.046710437055763,1.7617276725430058,1.1984063941402652
17,-1.36,-0.05,-2.85,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.07,0.69,-0.71,0.12,365393,8605,W,2.268692722244917,0.1292112732456498,2.0264259520787506,-0.1606962500678205,3.0357111752519583,4.750602229709631,0.47074162012658166,-0.9032555742499725,1.117852694963186,2.9025953796814346,-2.298789599123176,-1.581668600595816
18,-1.74,0.28,-3.02,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.07,0.69,-0.71,0.12,366399,9611,W,1.9080132916182921,0.14721568037766747,1.6740609484291753,2.183403211867236,1.2438791534471227,4.595770992082675,0.4038245864307118,2.8136375212618936,1.0428915835921972,2.793400761553193,-0.05484778381936292,1.899437625236464
19,-1.74,0.28,-3.02,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.09,0.6,-0.73,0.31,366476,9688,W,1.4967121699999222,0.17046918528852728,1.2949210929312438,-1.757981184463205,-1.2707250633583695,4.141815054814596,0.3014657174346529,0.20809133610674488,0.9114499407454418,2.73945189267505,2.2478695175994066,-0.9533800805273625
20,0.12,-0.39,0.57,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.09,0.6,-0.73,0.31,366491,9703,W,0.9540730040931226,0.19688583116152375,0.882758544735586,0.5396563127741161,2.693106370280894,3.4301461591903557,0.17345429024025866,-2.4725562398537075,0.7336786702941436,2.7576542197450324,-1.72051786645176,2.45515838032671
21,0.12,-0.39,0.57,-29.94,-0.81,-7.25,-3.95,-5.79,0.35,0.09,0.6,-0.73,0.31,366510,9722,W,-0.5176821058902978,0.2249178649256492,0.4231670002145122,2.7921696696251868,0.40514313567712273,2.5346041576436655,0.06316552749859637,1.169674006530377,0.5236760454678495,2.8211664762148994,0.6675387324172866,-0.4414021282222186
22,-0.63,-0.36,0.01,-29.94,-0.81,-7.25,-3.95,-5.79,0.35,0.09,0.6,-0.73,0.31,366534,9746,W,-2.24256565716326,0.2525353759954115,-0.14452135639666777,-1.3363950416194097,-2.1973941067289644,1.5484521564319267,0.16496940164654297,-1.3623896453845319,0.30491615366034125,2.8578117783132058,3.038704796559734,2.9221476230746637
23,-0.63,-0.36,0.01,-29.94,-0.81,-7.25,-4.59,-5.56,0.77,0.09,0.6,-0.73,0.31,366555,9767,W,-2.8526210694012515,0.27575596993749557,-1.2368910820216368,0.5644632188219538,1.3309098927290868,0.5926669209947895,0.31252222112795935,2.4944463363073974,0.12574778949697682,2.8291288287261813,-1.9882241172923578,-0.032790141302139655
24,-0.63,-0.36,0.01,-29.94,-0.81,-7.25,-4.9,-5.37,1.43,0.09,0.6,-0.73,0.31,366570,9782,W,2.943117614182346,0.29037241822721876,-3.0951303451017953,2.3319530763076703,-1.5669953647517367,0.47111461993706977,0.4439854950651188,0.0663994235765654,0.17002939766773162,2.7596260294183486,-0.7736888006692464,-3.027743656906855
25,-1.04,-1.02,-0.35,-29.94,-0.81,-7.25,-4.9,-5.37,1.43,0.09,0.6,-0.73,0.31,366587,9799,W,2.482309515168961,0.29172131511710125,2.408947745887363,-1.970900007705235,1.8200559772700073,1.1653287907438246,0.545148760294207,-2.4317340328261094,0.3104948654948521,2.7116198941107768,1.6067541831469292,0.21993952047650142
26,-1.04,-1.02,-0.35,-29.94,-0.81,-7.25,-4.79,-6.02,2.0,0.09,0.6,-0.73,0.31,367710,10922,W,2.0250815790213235,0.2749114558114196,1.8511811965171578,0.16767591359731956,-1.1150284466346299,1.7042635038580716,0.6081681279406207,1.2395752274203955,0.4236763313598169,2.7902657401066766,-2.2526715897916962,-2.83841661051289
27,-1.41,-0.81,-0.73,-29.94,-0.81,-7.25,-4.79,-6.02,2.0,0.09,0.6,-0.73,0.31,367735,10947,W,1.5640227676474143,0.23678877077555605,1.3439189195609365,2.4071650602610033,2.224247941669816,2.0393120447074553,0.6334000023532538,-1.4850945241492792,0.5028747996667307,3.1104690629130407,0.14880670162013385,0.45874028062281313
28,-1.41,-0.81,-0.73,-29.94,-0.81,-7.25,-3.87,-8.13,0.5,0.09,0.6,-0.73,0.31,367750,10962,W,1.0978376853606546,0.17726580676720394,0.86534045183231,-1.5707665658673506,-0.7379956690209738,2.18569946818665,0.6281566547442917,2.022207181345805,0.555265094488401,-2.8478445888460913,2.6175915093862105,-2.429130364671837
29,0.96,-0.41,1.32,-29.94,-0.81,-7.25,-3.87,-8.13,0.5,0.09,0.6,-0.73,0.31,367765,10977,W,0.6266709389276466,0.10169821910848612,0.41050001857665686,0.7247268300421801,2.5771104809598766,2.1785443817876584,0.5984089586938367,-0.7352963515124918,0.5821684751450049,-2.7862901596332947,-1.228716455868194,1.2049236910675252
30,0.96,-0.41,1.32,-29.94,-0.81,-7.25,-3.87,-8.13,0.5,-0.4,0.48,-0.19,0.76,368014,11226,W,0.14868191264327985,0.03421408974339164,-0.02803129768801199,2.988239057505271,-0.3866293651339068,2.04810536258813,0.547785394804412,2.811185588801939,0.5792732230156444,-2.8855583234754416,1.235153881964457,-1.4667561432339526
31,0.96,-0.41,1.32,-29.94,-0.81,-7.25,-6.51,-8.13,2.04,-0.4,0.48,-0.19,0.76,368037,11249,W,-0.3340056642094391,0.0847687618979796,-0.4514001395345235,-1.1141273882880949,2.9232003914495936,1.84016355436067,0.48307531112693836,0.0871191392839456,0.547447551918268,-3.0479455805674767,-2.582493613735798,2.147562928290254
32,0.96,-0.41,1.32,-29.94,-0.81,-7.25,-6.93,-6.17,4.83,-0.4,0.48,-0.19,0.76,368051,11263,W,-0.8119720339680646,0.15868689092826893,-0.8543911827510945,0.9245542769602342,-0.061251669438925835,1.6231763974043654,0.4121845736884086,-2.633571799639546,0.49212481532539853,3.056181068357039,-0.1762652547751959,-0.5747014418930253
33,0.96,-0.41,1.32,-29.94,-0.81,-7.25,-7.36,-6.44,5.14,-0.4,0.48,-0.19,0.76,368065,11277,W,-1.2703162127575174,0.21739819108089975,-1.227967171845876,2.824659224964474,-3.0908596872970517,1.466088222397252,0.3417113341215271,0.9258573834676148,0.42203082572394296,2.8873816219683826,2.296950339860184,2.938300420767673
