,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Fft_gx1,Fft_gy1,Fft_gz1,Fft_ax1,Fft_ay1,Fft_az1
0,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.55,-2.7,0.12,-0.71,0.01,0.67,0.21,473028,2855,W,-2.5181380189476257,0.10413538711399427,1.3314684653701518,-0.7780625683625328,-1.5206889633722513,0.5951605766043908,0.03858059727868645,-1.956860610663177,0.49138814812108866,3.022605252104559,-2.100535502516863,-1.2356728187169363
1,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.59,-2.77,0.12,-0.71,0.01,0.67,0.21,473069,2896,W,-2.4567606559608977,0.09111102212130752,0.982392639009752,2.1508840552484454,1.8916753378331068,0.6150433715834279,0.025726764498476815,1.357032641278596,0.6394597779627837,-2.9786346359657143,0.2741052314763331,2.302420159158269
2,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473110,2937,W,-1.6274927085489321,0.0838636721390567,0.5804548563106297,-1.2044842829514897,-0.5395054598712355,0.6534336542936342,0.027621839013432264,-1.6608999422618709,0.7985480592131663,-2.768780685759265,-2.6089279559732224,-0.3598556731654977
3,-0.21,-0.4,1.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473152,2979,W,-1.4654581848541572,0.09365074154557096,0.14466966589874386,1.5525453306106587,-2.839174967601251,0.7054472041288721,0.060819584778573035,1.6212179653609236,0.9636792677153957,-2.7514443688228507,0.2685489932874441,-3.1410117033158054
4,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473193,3020,W,-1.695737446477315,0.11974647749816203,-0.3068134399468197,-2.1869619608813213,0.8776235345221237,0.7759017271979973,0.10439311666798116,-1.3527007475025041,1.1289150239315786,-2.875652480585844,2.803461208337342,0.39126745703564875
5,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-12.3,-3.15,0.35,-0.71,0.01,0.67,0.21,473235,3062,W,-2.016449096861112,0.15287009123296913,-0.7589600238635843,0.2904995394816143,-1.8768596141929141,0.8718143760535528,0.14894043682225191,1.9734317529923933,1.2844378658176157,-3.0759664342143207,-1.0673917856717483,-2.3298808457499414
6,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-15.37,-3.08,0.0,-0.71,0.01,0.67,0.21,473276,3103,W,-2.3636206093193812,0.1851472053495595,-1.2007375567928456,2.7374455786981815,1.6147680420685393,0.9917707067225491,0.1878122883457718,-0.9713153321282537,1.4153368712790277,2.96913281058389,1.335913298669097,1.0881213110261945
7,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473319,3146,W,-2.717076880826804,0.21195477710843388,-1.626053013726527,-1.141636113107087,-1.2198710556024455,1.1298811528531836,0.2160722155001784,2.3684155294239506,1.5052515482282713,2.716284652151068,-2.5524955197720676,-1.8492366083298704
8,-0.1,-0.31,2.24,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473361,3188,W,-3.0676216169676964,0.2308398625819826,-2.031774445505996,1.2598063379546067,2.2178465198995934,1.2706593003550604,0.2308852858560311,-0.5771511136040649,1.5406336415310569,2.4679121714377077,-0.17658833532336343,1.710641132921593
9,-1.59,-1.27,-1.68,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473403,3230,W,2.8756207038187958,0.24013637765359666,-2.4148186377564262,-2.650998883796958,-0.6446798905991423,1.3851549496075477,0.23125785004313001,2.758986863438196,1.5133993238934733,2.2487141579423926,2.2045034046965815,-0.9276325618758916
10,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473445,3272,W,2.5549403594218223,0.23923565314094503,-2.7714944323975828,-0.30322527975500474,2.758980239854793,1.4467064205039148,0.21827093865103253,-0.19503385025733422,1.4235690723159977,2.109287450698759,-1.7108289116968844,2.771935457025034
11,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-5.71,-1.93,0.96,-0.71,0.01,0.67,0.21,473486,3313,W,2.2647731421653665,0.22924164098576688,-3.097077432994118,2.029167105316619,-0.13550526438897595,1.442309304821857,0.19504408626998115,3.126973804792197,1.280172107733597,2.1820897452556673,0.6436784143822912,0.19216298301756465
12,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-8.28,-0.16,3.03,-0.71,0.01,0.67,0.21,473526,3353,W,2.016858838930088,0.21422974411879966,2.9004848858243495,-1.9781789149961837,-3.059919269604212,1.3748042367534694,0.16672559263705727,0.14083486620710772,1.1006275425902539,2.623463024541242,2.9981214393778144,-2.4208314072021175
13,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473568,3395,W,1.816389961074424,0.2034153493549124,2.679375235505315,0.1858954447481258,0.2628389779934816,1.2595889257600172,0.13890720883523827,-2.8705620404421515,0.9145888664700005,2.946583100614009,-0.9507210967511837,1.2106048251199806
14,-0.41,0.27,-2.74,26.75,-128.13,12.75,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473608,3435,W,1.6520290221902465,0.20663167369423546,2.555932257529664,2.042849224095782,-2.8078287471705656,1.1041194488663222,0.11514871356100874,0.3787397833239873,0.7670721856340345,2.9523271554255923,1.3747477143679097,-1.315750745413721
15,-0.41,0.27,-2.74,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473651,3478,W,1.4889187351829487,0.22499188982000384,2.5175584990295077,-2.604063013178696,-0.5714449339464723,0.9237880343072684,0.09515072325014377,-2.6479254059505877,0.7028880406163867,2.8275365817121174,-2.639971200666165,2.9451069888693038
16,-0.1,0.7,-2.18,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473693,3520,W,1.2845046211847588,0.25048060187356697,2.4708706002017062,-0.6143318737511576,1.526041435040736,0.735983101374906,0.07492389237577977,0.7016855388981688,0.728003246871209,2.6636456935679735,-0.8248321409636753,0.6240100022734567
17,-0.1,0.7,-2.18,26.75,-128.13,12.75,-11.77,-1.05,1.08,-0.71,0.01,0.67,0.21,473735,3562,W,1.0012876245040097,0.2727033558306022,2.3473060947861604,1.6207577058026574,-1.583023086076167,0.5309297335100813,0.049856696158778295,-2.0662017428720225,0.7956267662503078,2.51278289622035,0.2956356762553308,-2.06414523471365
18,-0.1,0.7,-2.18,26.75,-128.13,12.75,-12.11,-1.09,1.96,-0.71,0.01,0.67,0.21,473777,3604,W,0.6050229348301088,0.2826470477500095,2.149406970917643,-2.3451138452801565,1.7318390211133239,0.2918850931007897,0.02069307135915823,1.5134328327210897,0.8572956339180487,2.425570007244079,2.3049419816795926,1.4189172542089197
19,-0.1,0.7,-2.18,26.75,-128.13,12.75,-10.16,-0.16,2.57,-0.71,0.01,0.67,0.21,473819,3646,W,-2.452447034339726,0.2766394841117547,1.8930341958930064,-0.016665264291759473,-1.2178630386908564,0.07866960509317211,0.009407433857955904,-1.2258357763838514,0.8850593167452829,2.4726781148287382,-1.6857186984904369,-1.4288369587272887
20,-0.1,0.7,-2.18,100.94,-104.0,36.75,-10.16,-0.16,2.57,-0.71,0.01,0.67,0.21,473860,3687,W,-3.026362076261828,0.25537095796213466,1.5921656815609428,2.331988682751264,2.1181414092552036,0.3311929477484216,0.037182844427278865,2.2810989864397,0.8657217666909046,2.7228844483995562,0.6681988640742594,1.9876739858717825
21,-0.1,0.7,-2.18,100.94,-104.0,36.75,-9.39,-0.05,2.11,-0.71,0.01,0.67,0.21,473904,3731,W,2.846313443466681,0.22137285586632952,1.2565662396666364,-1.5704739101371206,-0.8337373031248055,0.6359474119511199,0.061340272516018056,-0.5254708826039084,0.7983045406913919,3.0251179775228403,3.058324917498529,-0.8885873354106861
22,-0.16,-0.01,0.45,100.94,-104.0,36.75,-9.39,-0.05,2.11,-0.71,0.01,0.67,0.21,473946,3773,W,2.422240686939606,0.1786528563432535,0.8918523429880898,0.7965719413507895,2.5023232501135033,0.9023805347496816,0.07906922864596268,2.922391603926921,0.6920476614727259,3.129384984417599,-0.8344512175058564,2.5099843627672347
23,-0.16,-0.01,0.45,100.94,-104.0,36.75,-4.64,5.7,2.92,-0.71,0.01,0.67,0.21,473989,3816,W,1.966330188568421,0.13221358503778646,0.5010071547961824,-3.0904827651881455,-0.4445907598282565,1.0962763818124395,0.08930319818486314,0.058584974543478455,0.5629250144307204,3.0725581924593026,1.562263560979998,-0.3789727107708655
24,-0.16,-0.01,0.45,100.94,-104.0,36.75,-17.32,-5.18,1.5,-0.71,0.01,0.67,0.21,474030,3857,W,1.4695080938413323,0.08721854387073225,0.08714051339043963,-0.6758603497161972,2.893470501461103,1.197874109096784,0.09290889490121011,-2.836978633861699,0.42948878702149573,2.9419193643889963,-2.315331201416289,3.0033508542385947
25,-0.16,-0.01,0.45,100.94,-104.0,36.75,-11.35,-2.81,1.27,-0.71,0.01,0.67,0.21,474073,3900,W,0.9279047153178461,0.050015301076564454,-0.34608189724076205,1.7254401652913351,-0.049908208189897864,1.2053778492334166,0.09143677989856333,0.5579341839715157,0.30791438663933335,2.7866408751291813,0.08305248127976678,0.09034393094404454
26,-0.16,-0.01,0.45,100.94,-104.0,36.75,-11.73,-2.7,0.0,-0.71,0.01,0.67,0.21,474114,3941,W,0.3404710389228759,0.0324707405492253,-0.7908213952063331,-2.084975398818014,-2.9994853646281676,1.1274721479596888,0.08659162703089619,-2.3060607411838308,0.20849642586478412,2.6380851938094776,2.4895588343927595,-2.8221132458012232
27,0.35,0.04,0.33,100.94,-104.0,36.75,-11.73,-2.7,0.0,-0.71,0.01,0.67,0.21,474156,3983,W,-0.29010726955875527,0.03976973038872027,-1.222612956337457,0.4133764625010961,0.33230856388845165,0.9853087052544572,0.0804847696318037,1.1602556529123502,0.13482639263539897,2.5230627653475692,-1.3928938154470756,0.5538533132418088
28,0.21,0.13,0.17,100.94,-104.0,36.75,-11.73,-2.7,0.0,-0.71,0.01,0.67,0.21,474198,4025,W,-0.9514957092402677,0.0521873917056204,-1.5925608953710944,-2.5260728359225477,-2.648631526705324,0.8189234438137717,0.07478436538480342,-1.3893634772314998,0.08448928603824181,2.469329134780263,0.9814252161715393,-2.355265502315873
29,0.21,0.13,0.17,100.94,-104.0,36.75,-9.55,-2.7,0.39,-0.71,0.01,0.67,0.21,474241,4068,W,-1.6206542389388185,0.06189627144711756,-1.8507071969026085,1.0793909526104286,0.6243461940617651,0.683196083737756,0.0700852367798368,2.9966603619238548,0.05156941598744638,2.4979598080359438,-2.990046723034757,1.0250488050780069
30,-0.12,0.07,0.14,100.94,-104.0,36.75,-9.55,-2.7,0.39,-0.71,0.01,0.67,0.21,474283,4110,W,-2.2722326779047686,0.06992739953070883,-2.0838125121399886,-2.5304720710393553,-2.4987001891067306,0.6211173885890541,0.06562092988478928,-0.09211098406619969,0.028523244685069594,2.5920758194289553,-2.067800214309839,-1.869314318734624
31,-0.12,0.07,0.14,100.94,-104.0,36.75,-9.55,-2.7,0.2,-0.71,0.01,0.67,0.21,474324,4151,W,-2.894091053106325,0.07716019760442688,-2.848569098027743,-2.0701970947082206e-05,0.5982823092730927,0.6172361233312291,0.059628952100124644,1.2643798215410724,0.01586193163870286,2.6915863866558314,-0.6890966433101915,2.4309833151277753
32,-0.12,0.07,0.14,100.94,-104.0,36.75,-9.47,-2.62,0.35,-0.71,0.01,0.67,0.21,474364,4191,W,2.7866575085184553,0.0843694241559597,2.4811663548189586,2.321353400960618,-2.5067065050736996,0.6115414452211366,0.050767325039062526,-1.9078021827177924,0.03363536468316438,2.763168869511086,1.7063995672005672,1.5742582265208171
33,-0.07,-0.06,0.1,100.94,-104.0,36.75,-9.47,-2.62,0.35,-0.71,0.01,0.67,0.21,474405,4232,W,2.2117194828497815,0.09450945503964782,2.317821308350582,-1.6216908569936108,0.9980908741797025,0.5932809186590126,0.039710373438342286,1.6888126597992306,0.08378884661826926,2.807405771402748,-2.160042009949225,-1.1229688298136586
34,-0.04,-0.13,0.14,100.94,-104.0,36.75,-9.47,-2.62,0.35,-0.71,0.01,0.67,0.21,474447,4274,W,1.7606803409545257,0.11345131701756264,2.249088851018475,0.5886985097266811,-2.1333451242298125,0.5763845433315429,0.027819494974865668,-0.9012643085035966,0.183931808726546,2.8212766344116535,0.4996335640884969,1.7418374799489162
35,-0.04,-0.13,0.14,100.94,-104.0,36.75,-9.59,-2.54,0.39,-0.71,0.01,0.67,0.21,474491,4318,W,1.76212498273678,0.14684828552868168,2.099631599871099,2.892200698839289,1.1727143943744969,0.5719474875906017,0.01850279896126765,2.8773721813663213,0.35384477661693786,2.8378403977557918,-2.941907907430085,-2.0716491078434407
36,0.01,-0.22,0.23,100.94,-104.0,36.75,-9.59,-2.54,0.39,-0.71,0.01,0.67,0.21,474533,4360,W,2.2007121869111357,0.19447208884289888,1.8833305360556738,-1.007882020323648,-1.8160948147592788,0.557767533568883,0.025019078959818697,0.41449148882246123,0.595771644459699,2.9217912616292434,-0.42841401672695084,1.2029572482232131
37,0.01,-0.22,0.23,100.94,-104.0,36.75,-9.63,-2.46,0.5,-0.71,0.01,0.67,0.21,474574,4401,W,2.0604728659827423,0.25693118358608014,1.5992646934032577,1.359094050898646,1.55396960165447,0.5010235837512454,0.04684554946750373,-1.9827519371478308,0.9040618017582353,3.124127455277591,2.0602152868161205,-1.7555930511000934
38,0.01,-0.22,0.23,100.94,-104.0,36.75,-9.82,-2.54,0.27,-0.71,0.01,0.67,0.21,474614,4441,W,1.6263655212012837,0.3333476898100719,1.2498104428295171,-2.5671437138175635,-1.3148901974532525,0.4007628691009823,0.07220875787844659,-2.9666931357868607,1.2567714814494755,-2.9184508809303025,-1.7835342091564814,1.6002805928549941
39,-0.03,-0.69,0.93,100.94,-104.0,36.75,-9.82,-2.54,0.27,-0.71,0.01,0.67,0.21,474655,4482,W,1.0821475108968333,0.41776282875802145,0.8536462236485258,-0.188990810814679,2.1365241759713514,0.35573175573628735,0.09845581856446105,0.8529905567354849,1.6244353533030624,-2.8247053938217195,0.6207125746992939,-1.3296605634453351
40,-0.08,-0.82,1.66,100.94,-104.0,36.75,-9.82,-2.54,0.27,-0.71,0.01,0.67,0.21,474698,4525,W,0.49119528217230385,0.5032669496465474,0.4260956841710264,2.2088115141503817,-0.7170756024642857,0.533990332612386,0.12794749186774193,-1.9266413615800635,1.981458121751523,-2.8991879207433544,3.001287639624086,1.9903160792826076
41,-0.08,-0.82,1.66,100.94,-104.0,36.75,-11.16,-2.85,1.8,-0.71,0.01,0.67,0.21,474741,4568,W,-0.09798763628784815,0.5829903438764241,-0.01997847042554231,-1.6798616471071486,2.707709241487861,0.8775986479015376,0.16321656195478698,1.5081685190738041,2.3051342553767915,-3.0720507768426297,-0.9303904438681816,-0.9845655233951826
