,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
0,-0.48,-0.02,-1.19,-13.44,3.0,4.5,-3.53,-5.41,2.31,0.21,0.55,-0.73,0.35,263163,2510,W,0.4631219089857644,0.07799065859156591,0.07950124774131383,0.06995955097373402,0.018343841215156066,0.010203465570310957,1.1118357255842968,0.1934107109256243,0.18992220998051773
1,-0.83,0.18,-1.9,-13.44,3.0,4.5,-3.53,-5.41,2.31,0.21,0.55,-0.73,0.35,263177,2524,W,0.4275995906784909,0.06401675059256444,0.07222516756347969,0.06185379695311887,0.018427748358462795,0.008389398491255015,0.993218703758464,0.15647243170136654,0.16649543249655943
2,-0.83,0.18,-1.9,-13.44,3.0,4.5,-3.53,-5.41,2.31,0.29,0.47,-0.7,0.46,263192,2539,W,0.39947291834520005,0.049279532536933415,0.06152899250794853,0.04644488014228996,0.018259177537631364,0.00459456887031989,0.8777137807030512,0.11606930802164948,0.1318450398972193
3,-0.83,0.18,-1.9,-13.44,3.0,4.5,-4.18,-8.02,1.12,0.29,0.47,-0.7,0.46,263281,2628,W,0.38807330025210174,0.035679441470688404,0.055317531634149715,0.025999994994950183,0.013603090342444732,0.00800239202921313,0.7938295587235975,0.07243822877988583,0.1004736270139198
4,-1.08,0.05,-2.28,-13.44,3.0,4.5,-4.18,-8.02,1.12,0.29,0.47,-0.7,0.46,263297,2644,W,0.39104855311228875,0.026493594454063518,0.052499543095544186,0.020069014360961552,0.00512135266100316,0.02054624389331716,0.7584289093787148,0.03461264433324174,0.07808648702354039
5,-1.08,0.05,-2.28,-13.44,3.0,4.5,-4.79,-9.86,1.96,0.29,0.47,-0.7,0.46,263392,2739,W,0.3956543893443301,0.021274904524028772,0.05014909815258817,0.050192082961323964,0.0070512518188541665,0.034621924387394566,0.7601612473399293,0.021768565512713323,0.06611940672689047
6,-1.45,0.11,-2.67,-13.44,3.0,4.5,-4.79,-9.86,1.96,0.29,0.47,-0.7,0.46,263423,2770,W,0.38735661004656885,0.018129853675157608,0.05087803964952634,0.09335227228863843,0.022834831281961142,0.04900327659663866,0.7677642658806106,0.03463822809589112,0.06836636149682246
7,-1.45,0.11,-2.67,-13.44,3.0,4.5,-5.21,-11.54,1.43,0.29,0.47,-0.7,0.46,263446,2793,W,0.35823638949603714,0.013776200520782652,0.04828638260795122,0.14140423359220589,0.0410389454255442,0.06212519222905621,0.7533447790822446,0.04002919135933598,0.06730111683484792
8,-1.45,0.11,-2.67,-13.44,3.0,4.5,-6.17,-11.04,1.04,0.29,0.47,-0.7,0.46,263459,2806,W,0.3147141332726061,0.007628123488015322,0.043692540436700865,0.18833309080502214,0.061045618468634814,0.07047281701352687,0.7091583262112278,0.04225145796812585,0.06644420021070302
9,-1.45,0.11,-2.67,-13.44,3.0,4.5,-6.09,-10.96,0.97,0.29,0.47,-0.7,0.46,263480,2827,W,0.27808626678661214,0.001964778494825204,0.038575979019359004,0.2292024315779889,0.0808549063679172,0.07216109575759042,0.641129989040058,0.042536709685394414,0.06707756827597691
