,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft1,Fft2,Fft3
0,0.38,0.43,0.99,-10.69,1.37,1.19,-0.81,-8.32,0.48,-0.09,0.74,-0.67,0.06,137960,3269,W,0.46308994722416236,0.05364806405651714,0.08396337315813829
1,0.38,0.43,0.99,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137979,3288,W,0.42379132060022856,0.04042978756736408,0.07124948099238372
2,0.57,0.66,1.1,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137998,3307,W,0.36888597968330533,0.022214225267947776,0.060524806317444765
3,0.57,0.66,1.1,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138012,3321,W,0.31266142370350614,0.00525368777132129,0.05186098762161845
4,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138026,3335,W,0.2778198581004393,0.010394502082197528,0.050413177778434445
5,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.03,0.72,-0.68,0.08,138043,3352,W,0.2853684944389494,0.020949798105681462,0.04952323737017055
6,0.79,0.61,1.27,-10.69,1.37,1.19,-5.22,-8.97,2.59,-0.03,0.72,-0.68,0.08,138076,3385,W,0.3333911650773532,0.02565685630566081,0.055173433579926066
7,0.79,0.61,1.27,-10.69,1.37,1.19,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138097,3406,W,0.40386948862777405,0.026431991833753082,0.060151683643655286
8,0.79,0.61,1.27,-24.56,13.81,-7.81,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138122,3431,W,0.480484587314094,0.024318261293760118,0.061481979208952015
9,0.96,-0.59,1.98,-24.56,13.81,-7.81,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138142,3451,W,0.5481335359247662,0.021350596126153677,0.06295448613194289
10,0.96,-0.59,1.98,-24.56,13.81,-7.81,-5.87,-10.08,2.29,0.03,0.69,-0.71,0.15,138164,3473,W,0.5972294107834104,0.01604497967862475,0.05993730464250198
11,0.96,-0.59,1.98,-24.56,13.81,-7.81,-5.95,-11.31,1.52,0.03,0.69,-0.71,0.15,138187,3496,W,0.6251645932373547,0.009831366844133252,0.05535218271543867
12,0.99,-1.09,2.42,-24.56,13.81,-7.81,-5.95,-11.31,1.52,0.03,0.69,-0.71,0.15,138206,3515,W,0.6358731302163949,0.00412578333059671,0.050929777417010345
13,0.99,-1.09,2.42,-24.56,13.81,-7.81,-5.22,-10.46,1.37,0.03,0.69,-0.71,0.15,138221,3530,W,0.6378844278072502,0.004090870578589851,0.04285212423516119
14,0.99,-1.09,2.42,-24.56,13.81,-7.81,-5.76,-10.27,1.29,0.03,0.69,-0.71,0.15,138237,3546,W,0.6395013082289548,0.007974734732477472,0.03583187956851688
15,0.98,-0.67,2.52,-24.56,13.81,-7.81,-5.76,-10.27,1.29,0.03,0.69,-0.71,0.15,138253,3562,W,0.6587330514816758,0.023730731872296452,0.045621714785245286
16,0.98,-0.67,2.52,-24.56,13.81,-7.81,-6.6,-10.39,1.67,0.03,0.69,-0.71,0.15,138267,3576,W,0.730720793049849,0.0540681965144729,0.07419376615619717
17,0.91,0.07,2.7,-24.56,13.81,-7.81,-6.6,-10.39,1.67,0.03,0.69,-0.71,0.15,138281,3590,W,0.8670970205064513,0.09167238280215094,0.11256374901212392
18,0.91,0.07,2.7,-24.56,13.81,-7.81,-6.6,-10.39,1.67,0.13,0.62,-0.72,0.3,138297,3606,W,1.043080839755625,0.13535927401633194,0.16207367653763657
