,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,0,0.01,-0.01,-10.25,0.69,4.5,-3.11,-8.89,1.1,-0.12,0.66,-0.65,0.37,134691,0,0,0,0,-18,-86.31,34.25,-9.43,-2.04,1.35,-0.37,0.49,0.36,0.7,342588,0,T
1,0,0.01,-0.01,-10.25,0.69,4.5,-3.11,-8.89,1.1,-0.12,0.66,-0.65,0.37,134717,26,0,0,0,-18,-86.31,34.25,-9.43,-2.04,1.35,-0.37,0.49,0.36,0.7,342627,39,T
2,0,0,-0.01,-10.25,0.69,4.5,-3.11,-8.89,1.1,-0.12,0.66,-0.65,0.37,134735,44,0,0.01,-0.01,-18,-86.31,34.25,-9.43,-2.04,1.35,-0.37,0.49,0.36,0.7,342669,81,T
3,0,0,-0.01,-10.38,0.13,1.25,-3.11,-8.89,1.1,-0.12,0.66,-0.65,0.37,134754,63,0.01,0.04,-0.04,-18,-86.31,34.25,-9.43,-2.04,1.35,-0.37,0.49,0.36,0.7,342710,122,T
4,0,0,-0.01,-10.38,0.13,1.25,-3.23,-8.93,0.98,-0.12,0.66,-0.65,0.37,134768,77,0.01,0.03,-0.03,-18,-86.31,34.25,-9.43,-2.04,1.35,-0.37,0.49,0.36,0.7,342750,162,T
5,-0.01,0,-0.01,-10.38,0.13,1.25,-3.23,-8.93,0.98,-0.12,0.66,-0.65,0.37,134783,92,0.01,0.03,-0.03,-18,-86.31,34.25,-9.39,-2.08,1.31,-0.37,0.49,0.36,0.7,342791,203,T
6,-0.01,0,-0.01,-10.69,1.37,1.19,-3.23,-8.93,0.98,-0.12,0.66,-0.65,0.37,134797,106,0.01,0.03,-0.03,-18,-86.31,34.25,-9.39,-2.12,1.31,-0.37,0.49,0.36,0.7,342832,244,T
7,-0.01,0,-0.01,-10.69,1.37,1.19,-3.19,-8.97,1.06,-0.12,0.66,-0.65,0.37,134811,120,0.01,0.03,-0.03,-17,-86.38,34.25,-9.39,-2.12,1.31,-0.37,0.49,0.36,0.7,342872,284,T
8,-0.01,0,-0.01,-10.69,1.37,1.19,-3.23,-8.97,1.06,-0.12,0.66,-0.65,0.37,134826,135,0,-0.01,0.01,-17,-86.38,34.25,-9.39,-2.12,1.31,-0.37,0.49,0.36,0.7,342913,325,T
9,-0.01,-0.02,-0.01,-10.69,1.37,1.19,-3.23,-8.97,1.06,-0.12,0.66,-0.65,0.37,134852,161,0,-0.01,0.01,-17,-86.38,34.25,-9.39,-2.08,1.31,-0.37,0.49,0.36,0.7,342956,368,T
10,-0.01,-0.02,-0.01,-10.69,1.37,1.19,-3.15,-8.93,1.06,-0.12,0.66,-0.65,0.37,134867,176,0,-0.03,0.02,-17,-86.38,34.25,-9.39,-2.08,1.31,-0.37,0.49,0.36,0.7,342998,410,T
11,-0.01,-0.01,-0.01,-10.69,1.37,1.19,-3.15,-8.93,1.06,-0.12,0.66,-0.65,0.37,134881,190,0,-0.03,0.02,-17,-86.38,34.25,-9.39,-2.08,1.35,-0.37,0.49,0.36,0.7,343038,450,T
12,-0.01,-0.01,-0.01,-10.69,1.37,1.19,-3.15,-8.93,1.06,-0.12,0.66,-0.65,0.37,134896,205,0,-0.03,0.02,-17,-86.38,34.25,-9.43,-2.04,1.35,-0.37,0.49,0.36,0.7,343078,490,T
13,-0.01,-0.01,-0.01,-10.69,1.37,1.19,-3.15,-8.93,1.02,-0.12,0.66,-0.65,0.37,136636,1945,0.01,-0.03,0.02,-17,-86.38,34.25,-9.43,-2.04,1.35,-0.37,0.49,0.36,0.7,343119,531,T
