,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
92,0.27,0.04,0.97,-29.94,-0.81,-7.25,-2.95,-5.41,0.77,0.11,0.67,-0.73,0.14,364141,7353,0,0,0,16.44,-108.19,-28.75,-9.24,-3.11,0.04,-0.71,0.01,0.67,0.24,570767,5027,W
93,0.27,0.04,0.97,-29.94,-0.81,-7.25,-5.75,-12.95,2.07,0.11,0.67,-0.73,0.14,364155,7367,0,0.04,-0.02,16.44,-108.19,-28.75,-9.24,-3.11,0.04,-0.71,0.01,0.67,0.24,570810,5070,W
94,-0.93,2.27,-1.65,-29.94,-0.81,-7.25,-5.75,-12.95,2.07,0.11,0.67,-0.73,0.14,364170,7382,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.24,-3.11,0.04,-0.71,0.01,0.67,0.24,570852,5112,W
95,-0.93,2.27,-1.65,-29.94,-0.81,-7.25,-5.86,-12.57,2.11,0.11,0.67,-0.73,0.14,364388,7600,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.2,-3.11,0.08,-0.71,0.01,0.67,0.24,570895,5155,W
96,-0.93,2.27,-1.65,-29.94,-0.81,-7.25,-9.84,-10.8,2.15,0.11,0.67,-0.73,0.14,364418,7630,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.2,-3.08,0.04,-0.71,0.01,0.67,0.24,570938,5198,W
97,-0.93,2.27,-1.65,-29.94,-0.81,-7.25,-3.75,-7.55,1.81,0.11,0.67,-0.73,0.14,364435,7647,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.2,-3.08,0,-0.71,0.01,0.67,0.24,570979,5239,W
98,-0.93,2.27,-1.65,-29.94,-0.81,-7.25,-2.8,-7.86,1.73,0.11,0.67,-0.73,0.14,364449,7661,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571021,5281,W
99,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-2.8,-7.86,1.73,0.11,0.67,-0.73,0.14,364464,7676,-0.01,0.04,-0.03,8.69,-108.94,-17.44,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571064,5324,W
100,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-2.8,-7.86,1.73,0.02,0.72,-0.69,0.07,364479,7691,0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571106,5366,W
101,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364499,7711,0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571148,5408,W
102,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364513,7725,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571189,5449,W
103,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364710,7922,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.19,-0.03,-0.71,0.01,0.67,0.24,571230,5490,W
104,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.29,-8.24,2.19,0.02,0.72,-0.69,0.07,364734,7946,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.16,-0.71,0.01,0.67,0.24,571272,5532,W
105,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364749,7961,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571312,5572,W
106,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364763,7975,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571353,5613,W
107,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.07,0.69,-0.71,0.12,365187,8399,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571395,5655,W
108,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365214,8426,0.03,-0.01,0,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571437,5697,W
109,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365228,8440,0.03,-0.01,0,8.69,-108.94,-17.44,-9.2,-3.19,0.04,-0.71,0.01,0.67,0.24,571479,5739,W
110,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-2.41,-6.25,0.5,0.07,0.69,-0.71,0.12,365250,8462,0.03,-0.01,0,8.69,-108.94,-17.44,-9.24,-3.19,0,-0.71,0.01,0.67,0.24,571518,5778,W
111,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-2.64,-6.94,0.66,0.07,0.69,-0.71,0.12,365286,8498,0.03,-0.01,0,16.63,-111.25,-31.94,-9.24,-3.19,0,-0.71,0.01,0.67,0.24,571559,5819,W
112,-0.79,0.53,-2.12,-29.94,-0.81,-7.25,-2.64,-6.94,0.66,0.07,0.69,-0.71,0.12,365310,8522,-0.01,0,-0.01,16.63,-111.25,-31.94,-9.24,-3.19,0,-0.71,0.01,0.67,0.24,571601,5861,W
113,-1.02,0.26,-2.58,-29.94,-0.81,-7.25,-2.64,-6.94,0.66,0.07,0.69,-0.71,0.12,365333,8545,-0.01,0,-0.01,16.63,-111.25,-31.94,-9.2,-3.23,-0.07,-0.71,0.01,0.67,0.24,571643,5903,W
114,-1.02,0.26,-2.58,-29.94,-0.81,-7.25,-3.87,-9.54,0.7,0.07,0.69,-0.71,0.12,365348,8560,-0.01,0,-0.01,16.63,-111.25,-31.94,-9.13,-3.27,-0.03,-0.71,0.01,0.67,0.24,571687,5947,W
115,-1.02,0.26,-2.58,-29.94,-0.81,-7.25,-3.91,-11.42,0.96,0.07,0.69,-0.71,0.12,365362,8574,-0.01,0,-0.01,16.63,-111.25,-31.94,-9.16,-3.23,-0.03,-0.71,0.01,0.67,0.24,571729,5989,W
116,-1.36,-0.05,-2.85,-29.94,-0.81,-7.25,-3.91,-11.42,0.96,0.07,0.69,-0.71,0.12,365379,8591,-0.01,0,-0.01,16.63,-111.25,-31.94,-9.24,-3.15,0,-0.71,0.01,0.67,0.24,571772,6032,W
117,-1.36,-0.05,-2.85,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.07,0.69,-0.71,0.12,365393,8605,-0.01,0,-0.01,16.63,-111.25,-31.94,-9.39,-3.11,-0.11,-0.71,0.01,0.67,0.24,571813,6073,W
118,-1.74,0.28,-3.02,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.07,0.69,-0.71,0.12,366399,9611,-0.01,-0.55,0.47,16.63,-111.25,-31.94,-9.39,-3.11,-0.11,-0.71,0.01,0.67,0.24,571855,6115,W
