,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
38,-0.98,0.55,-2.31,-10.69,1.37,1.19,-7.44,-11,0.91,-0.05,0.7,-0.68,0.2,137759,3068,-1.09,0.92,-1.2,-16.56,-87.94,33.81,-11.58,-2.31,4.75,-0.66,-0.04,0.74,0.11,347623,5035,W
39,-0.98,0.55,-2.31,-10.69,1.37,1.19,-6.79,-10.96,0.83,-0.05,0.7,-0.68,0.2,137789,3098,-0.77,2.04,-3.7,-16.56,-87.94,33.81,-11.58,-2.31,4.75,-0.66,-0.04,0.74,0.11,347666,5078,W
40,-0.42,0.57,-0.41,-10.69,1.37,1.19,-6.79,-10.96,0.83,-0.05,0.7,-0.68,0.2,137831,3140,-0.77,2.04,-3.7,-16.56,-87.94,33.81,-13.26,-0.47,4.45,-0.66,-0.04,0.74,0.11,347709,5121,W
41,-0.42,0.57,-0.41,-10.69,1.37,1.19,-1.2,-5.79,0.64,-0.05,0.7,-0.68,0.2,137859,3168,-0.1,1.87,-3.24,-16.56,-87.94,33.81,-13.26,-0.47,4.45,-0.66,-0.04,0.74,0.11,347752,5164,W
42,-0.42,0.57,-0.41,-10.69,1.37,1.19,-0.13,-7.44,0.18,-0.05,0.7,-0.68,0.2,137882,3191,-0.1,1.87,-3.24,-16.56,-87.94,33.81,-13.3,0.37,5.48,-0.66,-0.04,0.74,0.11,347795,5207,W
43,-0.42,0.57,-0.41,-10.69,1.37,1.19,-0.05,-8.51,0.1,-0.05,0.7,-0.68,0.2,137903,3212,-0.1,1.87,-3.24,-16.56,-87.94,33.81,-11.39,1.98,3.38,-0.66,-0.04,0.74,0.11,347837,5249,W
44,-0.42,0.57,-0.41,-10.69,1.37,1.19,-0.81,-8.32,0.48,-0.05,0.7,-0.68,0.2,137921,3230,-0.1,1.87,-3.24,-16.56,-87.94,33.81,-9.78,3.74,3.64,-0.66,-0.04,0.74,0.11,347879,5291,W
45,0.38,0.43,0.99,-10.69,1.37,1.19,-0.81,-8.32,0.48,-0.05,0.7,-0.68,0.2,137937,3246,-0.1,1.87,-3.24,104,-113.56,16.38,-9.78,3.74,3.64,-0.66,-0.04,0.74,0.11,347921,5333,W
46,0.38,0.43,0.99,-10.69,1.37,1.19,-0.81,-8.32,0.48,-0.09,0.74,-0.67,0.06,137960,3269,0.39,-0.24,0.31,104,-113.56,16.38,-9.78,3.74,3.64,-0.66,-0.04,0.74,0.11,347963,5375,W
47,0.38,0.43,0.99,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137979,3288,0.35,-1.76,3.13,104,-113.56,16.38,-9.78,3.74,3.64,-0.66,-0.04,0.74,0.11,348004,5416,W
48,0.57,0.66,1.1,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137998,3307,0.35,-1.76,3.13,104,-113.56,16.38,-11.92,-5.49,-0.53,-0.66,-0.04,0.74,0.11,348046,5458,W
49,0.57,0.66,1.1,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138012,3321,0.35,-1.76,3.13,104,-113.56,16.38,-12.46,-2.43,2.57,-0.66,-0.04,0.74,0.11,348089,5501,W
50,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138026,3335,0.35,-1.76,3.13,104,-113.56,16.38,-11.77,-2.54,0.35,-0.66,-0.04,0.74,0.11,348132,5544,W
51,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.03,0.72,-0.68,0.08,138043,3352,0.35,-1.76,3.13,104,-113.56,16.38,-8.93,-2.39,2.73,-0.66,-0.04,0.74,0.11,348174,5586,W
52,0.79,0.61,1.27,-10.69,1.37,1.19,-5.22,-8.97,2.59,-0.03,0.72,-0.68,0.08,138076,3385,0.29,0.27,0.21,104,-113.56,16.38,-8.93,-2.39,2.73,-0.66,-0.04,0.74,0.11,348216,5628,W
53,0.79,0.61,1.27,-10.69,1.37,1.19,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138097,3406,0.21,0.01,0.16,104,-113.56,16.38,-8.93,-2.39,2.73,-0.66,-0.04,0.74,0.11,348257,5669,W
